issue_id,scan_id,repo_name,severity,category,title,description,evidence,impacted_file_count,impacted_files,estimated_token_waste,estimated_credit_waste,estimated_dollar_waste,impact,effort,formula,recommendation
ISS-2026-07-29-0006,SCN-2026-01-01-0001,agentic-crm,critical,redundancy,The same instruction block is pasted into 3 files,One block of instructions has been copied into several agent files. Only one copy is needed. The rest is paid for on every run.,"Block of 62678 characters (~15670 tokens) found in: context/context.md, context/product-context.md, memory/memory.md | Sample: ""The customer has an established relationship with the platform and has raised several tickets about billing, onboarding and reporting over the last four quarter""",3,context/context.md; context/product-context.md; memory/memory.md,6268000,62.68,35.1,Medium,Small,monthly_waste = block_tokens x (files_containing_block - 1) x runs_per_month,Move the shared block into one file and reference it from the others.
ISS-2026-07-29-0007,SCN-2026-01-01-0001,agentic-crm,high,token_bloat,Context file is very large: memory.md,"This memory or context file is bigger than a healthy working budget. Large context files are re-read on every run, so most of the cost is paid again and again.","memory/memory.md is about 20,676 tokens which is 12,676 tokens over the 8,000 token guideline.",1,memory/memory.md,2535200,25.352,14.2,Medium,Medium,monthly_waste = (file_tokens - 8000) x runs_per_month,Split this file into a short always-on summary plus detail files that load only when needed.
ISS-2026-07-29-0011,SCN-2026-01-01-0001,agentic-crm,high,review_overhead,10 separate review or approval steps were found,"Your instructions describe many checks before work is accepted. Each extra check means another pass over the same material, which costs time and money.","Stages inferred: Architecture review, Code review, Escalation review, Final approval, Human in the loop, Peer review, Product approval, Security review, Self review, Sign-off. Examples: Architecture review -> agents/billing.agent.md; Code review -> agents/billing.agent.md; Escalation review -> agents/billing.agent.md; Final approval -> agents/billing.agent.md",4,agents/billing.agent.md; agents/escalation.agent.md; agents/forecast.agent.md; agents/handoff.agent.md,2045100,20.451,11.45,High,Medium,monthly_waste = extra_review_stages x total_instruction_tokens x runs_per_month x 0.25,Keep at most four review gates. Combine the overlapping ones into a single checklist.
ISS-2026-07-29-0010,SCN-2026-01-01-0001,agentic-crm,high,agent_sprawl,46 agent-style files is more than this repo needs,"There are many separate agent, skill and prompt files. Each one adds instructions that have to be loaded and kept in sync. Fewer, clearer files cost less and break less often.",46 agent-like files detected against a healthy guideline of 12. Median agent file size is 240 tokens.,46,agents/billing.agent.md; agents/escalation.agent.md; agents/forecast.agent.md; agents/handoff.agent.md; agents/intake.agent.md; agents/legacy/intake-backup.agent.md; agents/legacy/intake-copy.agent.md; agents/legacy/intake-old.agent.md; agents/legacy/intake-v2.agent.md; agents/legal.agent.md; agents/notes.agent.md; agents/onboarding.agent.md; agents/pricing.agent.md; agents/proposal.agent.md; agents/qa.agent.md; agents/renewal.agent.md; agents/reporting.agent.md; agents/research.agent.md; agents/support.agent.md; agents/triage.agent.md; context/context.md; context/product-context.md; instruction.md; instructions.md; memory/memory.md,1632000,16.32,9.14,High,Large,monthly_waste = extra_agent_files x median_agent_tokens x runs_per_month,Group agents by job. Merge the ones that overlap and delete the ones nobody calls.
ISS-2026-07-29-0008,SCN-2026-01-01-0001,agentic-crm,high,token_bloat,Context file is very large: context.md,"This memory or context file is bigger than a healthy working budget. Large context files are re-read on every run, so most of the cost is paid again and again.","context/context.md is about 15,766 tokens which is 7,766 tokens over the 8,000 token guideline.",1,context/context.md,1553200,15.532,8.7,Medium,Medium,monthly_waste = (file_tokens - 8000) x runs_per_month,Split this file into a short always-on summary plus detail files that load only when needed.
ISS-2026-07-29-0001,SCN-2026-01-01-0001,agentic-crm,high,redundancy,20 files are near copies of each other,"These files say almost the same thing. Every time your agents run, the same words get sent to the model more than once. Keeping one source of truth removes the repeat cost.","Group DUP-001 - highest similarity 100%. Files: agents/billing.agent.md, agents/escalation.agent.md, agents/forecast.agent.md, agents/handoff.agent.md, agents/intake.agent.md, agents/legacy/intake-backup.agent.md ...",20,agents/billing.agent.md; agents/escalation.agent.md; agents/forecast.agent.md; agents/handoff.agent.md; agents/intake.agent.md; agents/legacy/intake-backup.agent.md; agents/legacy/intake-copy.agent.md; agents/legacy/intake-old.agent.md; agents/legacy/intake-v2.agent.md; agents/legal.agent.md; agents/notes.agent.md; agents/onboarding.agent.md; agents/pricing.agent.md; agents/proposal.agent.md; agents/qa.agent.md; agents/renewal.agent.md; agents/reporting.agent.md; agents/research.agent.md; agents/support.agent.md; agents/triage.agent.md,1055200,10.552,5.91,High,Medium,monthly_waste = (sum of duplicate file tokens - largest file tokens) x runs_per_month,"Keep the most complete file, delete or shrink the copies, and link to the kept file instead."
ISS-2026-07-29-0003,SCN-2026-01-01-0001,agentic-crm,medium,redundancy,The same instruction block is pasted into 43 files,One block of instructions has been copied into several agent files. Only one copy is needed. The rest is paid for on every run.,"Block of 363 characters (~91 tokens) found in: agents/billing.agent.md, agents/escalation.agent.md, agents/forecast.agent.md, agents/handoff.agent.md, agents/intake.agent.md, agents/legacy/intake-backup.agent.md ... | Sample: ""Before you begin any task you must read the repository conventions file, confirm the ticket number, check that the branch name follows the release naming policy""",43,agents/billing.agent.md; agents/escalation.agent.md; agents/forecast.agent.md; agents/handoff.agent.md; agents/intake.agent.md; agents/legacy/intake-backup.agent.md; agents/legacy/intake-copy.agent.md; agents/legacy/intake-old.agent.md; agents/legacy/intake-v2.agent.md; agents/legal.agent.md; agents/notes.agent.md; agents/onboarding.agent.md; agents/pricing.agent.md; agents/proposal.agent.md; agents/qa.agent.md; agents/renewal.agent.md; agents/reporting.agent.md; agents/research.agent.md; agents/support.agent.md; agents/triage.agent.md; context/context.md; instruction.md; instructions.md; orchestrator.md; prompts/stage-1.prompt.md,764400,7.644,4.28,High,Small,monthly_waste = block_tokens x (files_containing_block - 1) x runs_per_month,Move the shared block into one file and reference it from the others.
ISS-2026-07-29-0012,SCN-2026-01-01-0001,agentic-crm,high,architecture_inefficiency,Split into many services but there is little code in them,"The repo is arranged as many small services, yet the amount of real code is small. Each service still needs its own setup and its own instructions, so the overhead is larger than the work being done.",9 service directories detected with only 9 hand written source files.,9,services/svc-1; services/svc-2; services/svc-3; services/svc-4; services/svc-5; services/svc-6; services/svc-7; services/svc-8; services/svc-9,546670,5.4667,3.06,High,Large,monthly_waste = 5% x total_agent_asset_tokens x runs_per_month,"Fold the thin services back together until each one has a clear, separate job."
ISS-2026-07-29-0009,SCN-2026-01-01-0001,agentic-crm,medium,token_bloat,Context file is very large: product-context.md,"This memory or context file is bigger than a healthy working budget. Large context files are re-read on every run, so most of the cost is paid again and again.","context/product-context.md is about 10,005 tokens which is 2,005 tokens over the 8,000 token guideline.",1,context/product-context.md,401000,4.01,2.25,Medium,Medium,monthly_waste = (file_tokens - 8000) x runs_per_month,Split this file into a short always-on summary plus detail files that load only when needed.
ISS-2026-07-29-0004,SCN-2026-01-01-0001,agentic-crm,medium,redundancy,The same instruction block is pasted into 23 files,One block of instructions has been copied into several agent files. Only one copy is needed. The rest is paid for on every run.,"Block of 353 characters (~89 tokens) found in: agents/billing.agent.md, agents/escalation.agent.md, agents/forecast.agent.md, agents/handoff.agent.md, agents/intake.agent.md, agents/legacy/intake-backup.agent.md ... | Sample: ""Every change moves through the following gates in order: self review, then peer review, then code review by the owning team, then a security review, then archit""",23,agents/billing.agent.md; agents/escalation.agent.md; agents/forecast.agent.md; agents/handoff.agent.md; agents/intake.agent.md; agents/legacy/intake-backup.agent.md; agents/legacy/intake-copy.agent.md; agents/legacy/intake-old.agent.md; agents/legacy/intake-v2.agent.md; agents/legal.agent.md; agents/notes.agent.md; agents/onboarding.agent.md; agents/pricing.agent.md; agents/proposal.agent.md; agents/qa.agent.md; agents/renewal.agent.md; agents/reporting.agent.md; agents/research.agent.md; agents/support.agent.md; agents/triage.agent.md; instructions.md; orchestrator.md; workflow.md,391600,3.916,2.19,High,Small,monthly_waste = block_tokens x (files_containing_block - 1) x runs_per_month,Move the shared block into one file and reference it from the others.
ISS-2026-07-29-0005,SCN-2026-01-01-0001,agentic-crm,low,redundancy,The same instruction block is pasted into 20 files,One block of instructions has been copied into several agent files. Only one copy is needed. The rest is paid for on every run.,"Block of 190 characters (~48 tokens) found in: agents/billing.agent.md, agents/escalation.agent.md, agents/forecast.agent.md, agents/handoff.agent.md, agents/intake.agent.md, agents/legacy/intake-backup.agent.md ... | Sample: ""When finished, write a summary into the shared memory file and notify the orchestrator so the next stage can start. Include the ticket number, the files touched""",20,agents/billing.agent.md; agents/escalation.agent.md; agents/forecast.agent.md; agents/handoff.agent.md; agents/intake.agent.md; agents/legacy/intake-backup.agent.md; agents/legacy/intake-copy.agent.md; agents/legacy/intake-old.agent.md; agents/legacy/intake-v2.agent.md; agents/legal.agent.md; agents/notes.agent.md; agents/onboarding.agent.md; agents/pricing.agent.md; agents/proposal.agent.md; agents/qa.agent.md; agents/renewal.agent.md; agents/reporting.agent.md; agents/research.agent.md; agents/support.agent.md; agents/triage.agent.md,182400,1.824,1.02,High,Small,monthly_waste = block_tokens x (files_containing_block - 1) x runs_per_month,Move the shared block into one file and reference it from the others.
ISS-2026-07-29-0013,SCN-2026-01-01-0001,agentic-crm,low,agent_sprawl,"13 skill files, and some repeat each other","Skill files are meant to be small and specific. When there are many of them and they repeat, the model reads the same guidance several times.",13 skill files detected; 0 of them sit inside near-duplicate groups.,13,skills/archive.skill.md; skills/classify.skill.md; skills/escalate.skill.md; skills/extract.skill.md; skills/format.skill.md; skills/legacy/search-old.skill.md; skills/notify.skill.md; skills/reconcile.skill.md; skills/schedule.skill.md; skills/search.skill.md; skills/summarise.skill.md; skills/translate.skill.md; skills/validate.skill.md,72000,0.72,0.4,Medium,Small,monthly_waste = duplicated_skill_tokens x runs_per_month x 0.5,Keep one skill file per capability and delete the near copies.
ISS-2026-07-29-0014,SCN-2026-01-01-0001,agentic-crm,low,review_overhead,10 orchestration files create extra hand-offs,There are many files describing how work moves between agents. Every hand-off adds instructions that must be loaded and kept in step with the others.,"10 orchestration or prompt files detected, average size 125 tokens.",10,instruction.md; instructions.md; orchestrator.md; prompts/stage-1.prompt.md; prompts/stage-2.prompt.md; prompts/stage-3.prompt.md; prompts/stage-4.prompt.md; prompts/stage-5.prompt.md; prompts/stage-6.prompt.md; workflow.md,50000,0.5,0.28,Medium,Medium,monthly_waste = (orchestration_files - 6) x avg_orchestration_tokens x runs_per_month x 0.5,Describe the flow once in a single orchestrator file and let the agents stay simple.
ISS-2026-07-29-0002,SCN-2026-01-01-0001,agentic-crm,low,redundancy,2 files are near copies of each other,"These files say almost the same thing. Every time your agents run, the same words get sent to the model more than once. Keeping one source of truth removes the repeat cost.","Group DUP-002 - highest similarity 84%. Files: instructions.md, orchestrator.md",2,instructions.md; orchestrator.md,38200,0.382,0.21,Medium,Small,monthly_waste = (sum of duplicate file tokens - largest file tokens) x runs_per_month,"Keep the most complete file, delete or shrink the copies, and link to the kept file instead."
